,created_at,source,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,hashtags,user_mentions,place
3038,2021-06-18 23:04:30+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.16666666666666666,0.2833333333333333,en,,,jdM273,647,990,[],[],
3039,2021-06-18 23:04:31+00:00,"<a href=""http://naattuvartha.byethost33.com"" rel=""nofollow"">Naattuvartha</a>",0.16666666666666666,0.2833333333333333,en,,,viralvideovlogs,6855,4580,[],"[{'screen_name': 'jdM273', 'name': 'j-d 🇨🇦 😁', 'id': 2385665369, 'id_str': '2385665369', 'indices': [3, 10]}]",കേരളം
3040,2021-06-18 23:04:39+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.03409090909090909,0.48863636363636365,en,,,KetoMattMan,388,565,[],"[{'screen_name': 'Milhouse_Van_Ho', 'name': 'Milhouse Van Houten 🗽🇨🇦', 'id': 1246065743294332928, 'id_str': '1246065743294332928', 'indices': [3, 19]}]",Earth
3041,2021-06-18 23:04:42+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.0,0.0,en,,,24TrueToneTenor,915,1702,[],"[{'screen_name': 'shawajason', 'name': 'J. Shawa  جاسم الشوا', 'id': 431029718, 'id_str': '431029718', 'indices': [3, 14]}]",Huntsville AL+Hattiesburg MS 
3042,2021-06-18 23:04:50+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.07500000000000001,0.5,en,,,yoIssa,152,223,[],"[{'screen_name': 'NormaJTorres', 'name': 'Rep. Norma Torres', 'id': 236279233, 'id_str': '236279233', 'indices': [3, 16]}]","California, USA"
3043,2021-06-18 23:05:13+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.0,en,,,tiramisuvwxyz,537,440,[],"[{'screen_name': 'shawajason', 'name': 'J. Shawa  جاسم الشوا', 'id': 431029718, 'id_str': '431029718', 'indices': [3, 14]}]",Malaysia
3044,2021-06-18 23:05:34+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.0,0.0,en,,,OzerAlternative,838,395,[],"[{'screen_name': 'shawajason', 'name': 'J. Shawa  جاسم الشوا', 'id': 431029718, 'id_str': '431029718', 'indices': [3, 14]}]","Telling decision-makers what they need to know, not what they want to hear. Istanbul | Islamabad | London | Globe-trotter |"
3045,2021-06-18 23:05:49+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.0,en,,,doescrack,612,174,[],"[{'screen_name': 'shawajason', 'name': 'J. Shawa  جاسم الشوا', 'id': 431029718, 'id_str': '431029718', 'indices': [3, 14]}]",New York 
3046,2021-06-18 23:05:58+00:00,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0.15,0.45,en,,,curmudgeon_girl,1216,1283,[],"[{'screen_name': 'mikkimouseclub', 'name': 'Mikki *NO TAGS or FBRs!* Crow', 'id': 554025738, 'id_str': '554025738', 'indices': [3, 18]}]",Land of Enchantment
3047,2021-06-18 23:06:13+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,0.0,en,,,Farishakamiliaa,207,163,[],"[{'screen_name': 'shawajason', 'name': 'J. Shawa  جاسم الشوا', 'id': 431029718, 'id_str': '431029718', 'indices': [3, 14]}]",home
3048,2021-06-18 23:06:34+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,0.0,en,,,RamboRecon,82,104,[],"[{'screen_name': 'fordnation', 'name': 'Doug Ford', 'id': 2809959174, 'id_str': '2809959174', 'indices': [14, 25]}]",YouTube/Twitch - RamboRecon
